"Samples per sec. = 2000/8"
"sec","Volt","Date","Time"
.0000,-8.97217E-01,06-22-18,15:04:44
.0040,-2.80762E-01,06-22-18,15:04:44
.0080, 6.43311E-01,06-22-18,15:04:44
.0120, 6.62842E-01,06-22-18,15:04:44
.0160,-2.49023E-01,06-22-18,15:04:44
.0200,-8.97217E-01,06-22-18,15:04:44
.0240,-2.80151E-01,06-22-18,15:04:44
.0280, 6.43311E-01,06-22-18,15:04:44
.0320, 6.62842E-01,06-22-18,15:04:44
.0360,-2.48413E-01,06-22-18,15:04:44
.0400,-8.96606E-01,06-22-18,15:04:44
.0440,-2.80762E-01,06-22-18,15:04:44
.0480, 6.43311E-01,06-22-18,15:04:44
.0520, 6.64063E-01,06-22-18,15:04:44
.0560,-2.48413E-01,06-22-18,15:04:44
.0600,-8.97827E-01,06-22-18,15:04:44
.0640,-2.80762E-01,06-22-18,15:04:44
.0680, 6.44531E-01,06-22-18,15:04:44
.0720, 6.64063E-01,06-22-18,15:04:44
.0760,-2.49634E-01,06-22-18,15:04:44
.0800,-8.97827E-01,06-22-18,15:04:44
.0840,-2.80151E-01,06-22-18,15:04:44
.0880, 6.44531E-01,06-22-18,15:04:44
.0920, 6.64063E-01,06-22-18,15:04:44
.0960,-2.49023E-01,06-22-18,15:04:44
.1000,-8.96606E-01,06-22-18,15:04:44
.1040,-2.79541E-01,06-22-18,15:04:44
.1080, 6.44531E-01,06-22-18,15:04:44
.1120, 6.62231E-01,06-22-18,15:04:44
.1160,-2.49023E-01,06-22-18,15:04:44
.1200,-8.98438E-01,06-22-18,15:04:44
.1240,-2.80151E-01,06-22-18,15:04:44
.1280, 6.43311E-01,06-22-18,15:04:44
.1320, 6.61011E-01,06-22-18,15:04:44
.1360,-2.50244E-01,06-22-18,15:04:44
.1400,-8.97827E-01,06-22-18,15:04:44
.1440,-2.80151E-01,06-22-18,15:04:44
.1480, 6.43921E-01,06-22-18,15:04:44
.1520, 6.61621E-01,06-22-18,15:04:44
.1560,-2.50854E-01,06-22-18,15:04:44
.1600,-8.99048E-01,06-22-18,15:04:44
.1640,-2.79541E-01,06-22-18,15:04:44
.1680, 6.43921E-01,06-22-18,15:04:44
.1720, 6.62231E-01,06-22-18,15:04:44
.1760,-2.49634E-01,06-22-18,15:04:44
.1800,-8.97827E-01,06-22-18,15:04:44
.1840,-2.79541E-01,06-22-18,15:04:44
.1880, 6.43921E-01,06-22-18,15:04:44
.1920, 6.62842E-01,06-22-18,15:04:44
.1960,-2.49634E-01,06-22-18,15:04:44
.2000,-8.97827E-01,06-22-18,15:04:44
.2040,-2.78931E-01,06-22-18,15:04:44
.2080, 6.43311E-01,06-22-18,15:04:44
.2120, 6.61621E-01,06-22-18,15:04:44
.2160,-2.50244E-01,06-22-18,15:04:44
.2200,-8.97217E-01,06-22-18,15:04:44
.2240,-2.78931E-01,06-22-18,15:04:44
.2280, 6.45142E-01,06-22-18,15:04:44
.2320, 6.62842E-01,06-22-18,15:04:44
.2360,-2.50854E-01,06-22-18,15:04:44
.2400,-8.98438E-01,06-22-18,15:04:44
.2440,-2.78320E-01,06-22-18,15:04:44
.2480, 6.44531E-01,06-22-18,15:04:44
.2520, 6.62842E-01,06-22-18,15:04:44
.2560,-2.50244E-01,06-22-18,15:04:44
.2600,-8.99658E-01,06-22-18,15:04:44
.2640,-2.78320E-01,06-22-18,15:04:44
.2680, 6.46362E-01,06-22-18,15:04:44
.2720, 6.62231E-01,06-22-18,15:04:44
.2760,-2.50244E-01,06-22-18,15:04:44
.2800,-8.97827E-01,06-22-18,15:04:44
.2840,-2.78320E-01,06-22-18,15:04:44
.2880, 6.46362E-01,06-22-18,15:04:44
.2920, 6.63452E-01,06-22-18,15:04:44
.2960,-2.50244E-01,06-22-18,15:04:44
.3000,-8.98438E-01,06-22-18,15:04:44
.3040,-2.78320E-01,06-22-18,15:04:44
.3080, 6.44531E-01,06-22-18,15:04:44
.3120, 6.61621E-01,06-22-18,15:04:44
.3160,-2.50244E-01,06-22-18,15:04:44
.3200,-8.97827E-01,06-22-18,15:04:44
.3240,-2.78931E-01,06-22-18,15:04:44
.3280, 6.44531E-01,06-22-18,15:04:44
.3320, 6.61011E-01,06-22-18,15:04:44
.3360,-2.50854E-01,06-22-18,15:04:44
.3400,-8.96606E-01,06-22-18,15:04:44
.3440,-2.78931E-01,06-22-18,15:04:44
.3480, 6.44531E-01,06-22-18,15:04:44
.3520, 6.62842E-01,06-22-18,15:04:44
.3560,-2.49634E-01,06-22-18,15:04:44
.3600,-8.97827E-01,06-22-18,15:04:44
.3640,-2.78320E-01,06-22-18,15:04:44
.3680, 6.45142E-01,06-22-18,15:04:44
.3720, 6.62231E-01,06-22-18,15:04:44
.3760,-2.50244E-01,06-22-18,15:04:44
.3800,-8.97217E-01,06-22-18,15:04:44
.3840,-2.77710E-01,06-22-18,15:04:44
.3880, 6.45752E-01,06-22-18,15:04:44
.3920, 6.61621E-01,06-22-18,15:04:44
.3960,-2.50854E-01,06-22-18,15:04:44
