"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.3940, 1.71997E-01,03-25-18,14:17:58
.3960, 1.14136E-01,03-25-18,14:17:58
.3980, 2.79541E-02,03-25-18,14:17:58
.4000,-6.53076E-02,03-25-18,14:17:58
.4020,-1.42578E-01,03-25-18,14:17:58
.4040,-1.84692E-01,03-25-18,14:17:58
.4060,-1.81152E-01,03-25-18,14:17:58
.4080,-1.32813E-01,03-25-18,14:17:58
.4100,-5.18799E-02,03-25-18,14:17:58
.4120, 4.16260E-02,03-25-18,14:17:58
.4140, 1.24756E-01,03-25-18,14:17:58
.4160, 1.76758E-01,03-25-18,14:17:58
.4180, 1.85059E-01,03-25-18,14:17:58
.4200, 1.47339E-01,03-25-18,14:17:58
.4220, 7.31201E-02,03-25-18,14:17:58
.4240,-1.91650E-02,03-25-18,14:17:58
.4260,-1.06934E-01,03-25-18,14:17:58
.4280,-1.68457E-01,03-25-18,14:17:58
.4300,-1.88354E-01,03-25-18,14:17:58
.4320,-1.61621E-01,03-25-18,14:17:58
.4340,-9.50928E-02,03-25-18,14:17:58
.4360,-5.24902E-03,03-25-18,14:17:58
.4380, 8.56934E-02,03-25-18,14:17:58
.4400, 1.55273E-01,03-25-18,14:17:58
.4420, 1.86279E-01,03-25-18,14:17:58
.4440, 1.71143E-01,03-25-18,14:17:58
.4460, 1.13647E-01,03-25-18,14:17:58
.4480, 2.78320E-02,03-25-18,14:17:58
.4500,-6.49414E-02,03-25-18,14:17:58
.4520,-1.41724E-01,03-25-18,14:17:58
.4540,-1.83594E-01,03-25-18,14:17:58
.4560,-1.80054E-01,03-25-18,14:17:58
.4580,-1.31958E-01,03-25-18,14:17:58
.4600,-5.15137E-02,03-25-18,14:17:58
.4620, 4.12598E-02,03-25-18,14:17:58
.4640, 1.23779E-01,03-25-18,14:17:58
.4660, 1.75293E-01,03-25-18,14:17:58
.4680, 1.83472E-01,03-25-18,14:17:58
.4700, 1.46118E-01,03-25-18,14:17:58
.4720, 7.26318E-02,03-25-18,14:17:58
.4740,-1.87988E-02,03-25-18,14:17:58
.4760,-1.05713E-01,03-25-18,14:17:58
.4780,-1.66504E-01,03-25-18,14:17:58
.4800,-1.85913E-01,03-25-18,14:17:58
.4820,-1.59546E-01,03-25-18,14:17:58
.4840,-9.38721E-02,03-25-18,14:17:58
.4860,-5.24902E-03,03-25-18,14:17:58
.4880, 8.39844E-02,03-25-18,14:17:58
