"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.7460,-4.54102E-02,03-26-18,14:18:32
.7480,-1.81885E-02,03-26-18,14:18:32
.7500, 9.15527E-03,03-26-18,14:18:32
.7520, 3.66211E-02,03-26-18,14:18:32
.7540, 6.34766E-02,03-26-18,14:18:32
.7560, 8.93555E-02,03-26-18,14:18:32
.7580, 1.13892E-01,03-26-18,14:18:32
.7600, 1.36719E-01,03-26-18,14:18:32
.7620, 1.57471E-01,03-26-18,14:18:32
.7640, 1.75659E-01,03-26-18,14:18:32
.7660, 1.91040E-01,03-26-18,14:18:32
.7680, 2.03491E-01,03-26-18,14:18:32
.7700, 2.12646E-01,03-26-18,14:18:32
.7720, 2.18384E-01,03-26-18,14:18:32
.7740, 2.20581E-01,03-26-18,14:18:32
.7760, 2.19482E-01,03-26-18,14:18:32
.7780, 2.14844E-01,03-26-18,14:18:32
.7800, 2.06787E-01,03-26-18,14:18:32
.7820, 1.95557E-01,03-26-18,14:18:32
.7840, 1.81152E-01,03-26-18,14:18:32
.7860, 1.63818E-01,03-26-18,14:18:32
.7880, 1.43921E-01,03-26-18,14:18:32
.7900, 1.21704E-01,03-26-18,14:18:32
.7920, 9.76563E-02,03-26-18,14:18:32
.7940, 7.20215E-02,03-26-18,14:18:32
.7960, 4.52881E-02,03-26-18,14:18:32
.7980, 1.78223E-02,03-26-18,14:18:32
.8000,-9.88770E-03,03-26-18,14:18:32
.8020,-3.74756E-02,03-26-18,14:18:32
.8040,-6.45752E-02,03-26-18,14:18:32
.8060,-9.06982E-02,03-26-18,14:18:32
.8080,-1.15356E-01,03-26-18,14:18:32
.8100,-1.38306E-01,03-26-18,14:18:32
.8120,-1.58936E-01,03-26-18,14:18:32
.8140,-1.77124E-01,03-26-18,14:18:32
.8160,-1.92627E-01,03-26-18,14:18:32
.8180,-2.04956E-01,03-26-18,14:18:32
.8200,-2.14111E-01,03-26-18,14:18:32
.8220,-2.19849E-01,03-26-18,14:18:32
.8240,-2.22168E-01,03-26-18,14:18:32
.8260,-2.20947E-01,03-26-18,14:18:32
.8280,-2.16309E-01,03-26-18,14:18:32
.8300,-2.08252E-01,03-26-18,14:18:32
.8320,-1.96899E-01,03-26-18,14:18:32
.8340,-1.82373E-01,03-26-18,14:18:32
.8360,-1.64917E-01,03-26-18,14:18:32
.8380,-1.45020E-01,03-26-18,14:18:32
.8400,-1.22803E-01,03-26-18,14:18:32
